"Title","Year","Director","Country","Status","Source (IMDb Lists)","In Canon","Reason","Tags","Notes"
"Magallanes","2015","Salvador del Solar","Peru","⏳ PENDING","100, 158","NO","","led_by, about_community","Taxi driver, army past"
"McFarland, USA","2015","Niki Caro","US","✅ IN CANON","","YES","","about_community",""
"Paulina","2015","Santiago Mitre","Argentina","⏳ PENDING","100, 158","NO","","led_by, about_community","Law student, rape aftermath"
"The Club","2015","Pablo Larraín","Chile","⏳ PENDING","100, 158","NO","","led_by, about_community","Priests/nuns, child abuse scandal"
"The Pearl Button","2015","Patricio Guzmán","Chile","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community","Water significance, Pinochet coup"
"The Second Mother","2015","Anna Muylaert","Brazil","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, starring","Housekeeper's daughter, class barriers"
"The Thin Yellow Line","2015","Celso R. García","Peru","⏳ PENDING","100, 158","NO","","led_by, about_community","Road painters, moral journey"
"Truman","2015","Cesc Gay","Spain","❌ EXCLUDED","100, 158","NO","Spanish director (Cesc Gay), not Latino","led_by (fails criterion)","Spanish director, though intimate drama"
"Aquarius","2016","Kleber Mendonça Filho","Brazil, France","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, starring","Woman refuses demolition"
"El Amparo","2016","Rober Calzadilla","Venezuela","⏳ PENDING","100, 158","NO","","led_by, about_community","Shootout survivors, military intimidation"
"Neruda","2016","Pablo Larraín","Chile","✅ IN CANON","100, 158","YES","Already merged to canon.seed.json (tracking file was stale)","led_by, about_community","Pablo Neruda, poet fugitive"
"No manches, Frida","2016","Nacho G. Velilla","Mexico, Germany, US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"The Offended","2016","Marcela Zamora","El Salvador","⏳ PENDING","altermarianita + vramirez75 TMDB El Salvador lists","NO","","","Torture survivor testimonies; same director as El cuarto de los huesos (already in canon) but not found on TMDB to pin a tmdbId yet - needs individual director/writer heritage verification before any tag"
"The Pastor","2016","Deborah Goodwin","El Salvador, US","⏳ PENDING","altermarianita + vramirez75 TMDB El Salvador lists","NO","","","Former gang leader turned pastor; not found on TMDB, director appears American - needs individual director/writer heritage verification before any tag"
"Últimos días en La Habana","2016","Fernando Pérez","Cuba","⏳ PENDING","100, 158","NO","","led_by, about_community","Man dying of AIDS, Havana"
"A Fantastic Woman","2017","Sebastián Lelio","Chile, Germany, Spain, US","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Transgender woman, boyfriend death"
"Araby","2017","João Dumans, Affonso Uchoa","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Factory worker's notebook"
"Bingo: The King of the Mornings","2017","Daniel Rezende","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Actor, anonymous celebrity"
"Coco","2017","Lee Unkrich","US","✅ IN CANON","","YES","","about_community, breakthrough, starring",""
"Cristela Alonzo: Lower Classy","2017","Marcus Raboy","US","⏳ PENDING","","YES","","about_community, starring","Quota-blocked: persisted, not yet classified"
"El Puma de Quelepa","2017","Victor Ruano","El Salvador","✅ IN CANON","","YES","","led_by, created_by, about_community","Writer-director Victor Ruano; ethnographic portrait of Quelepa village, El Salvador (also directed Exquisite Corpse)"
"Eternity","2017","Óscar Catacora","Peru","✅ IN CANON","100, 158","YES","First film entirely in Aymara language; sole director/writer/cinematographer; Peru's Oscar submission","led_by, about_community, breakthrough","Elderly couple, Andes"
"Ferdinand","2017","Carlos Saldanha","US","⏳ PENDING","","YES","","led_by","Quota-blocked: persisted, not yet classified"
"Good Manners","2017","Marco Dutra, Juliana Rojas","Brazil","⏳ PENDING","100, 158","NO","","led_by, created_by, about_community","Nurse, mysterious wealthy woman"
"Matlatl","2017","Migue Siman","El Salvador","✅ IN CANON","","YES","","led_by, created_by, about_community","Writer-director Migue Siman + co-writer Alfonso Siman - Siman family, prominent in Salvadoran business/culture. Horror rooted in Salvadoran folklore."
"One Day at a Time","2017","","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Port Triumph","2017","Jeffrey Gould","El Salvador, US","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Dock workers under neoliberalism; Gould is American academic - needs individual director/writer heritage verification before any tag"
"Retablo","2017","Alvaro Delgado Aparicio","Peru","✅ IN CANON","100, 158","YES","Sole director; Quechua-language; won Teddy Award at Berlinale","led_by, about_community, breakthrough","Story-box maker legacy"
"The Movie of My Life","2017","Selton Mello","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Tony returns, teacher/father"
"A Twelve-Year Night","2018","Álvaro Brechner","Uruguay","✅ IN CANON","100, 158","YES","Venice premiere, political imprisonment narrative","led_by, about_community, breakthrough","Tupamaro prisoners, torture"
"La Palabra de Pablo","2018","Arturo Menéndez","El Salvador","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Othello-inspired family drama; same director as Malacrianza (already in canon), worth checking for about_community fit - needs individual director/writer heritage verification before any tag"
"La batalla del volcán","2018","Julio López Fernández","El Salvador","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Veterans return to Guazapa 25 years later - needs individual director/writer heritage verification before any tag"
"Los silencios","2018","Beatriz Seigner","Colombia","⏳ PENDING","100, 158","NO","","led_by, about_community","Amazon family, armed conflict"
"Loveling","2018","Gustavo Pizzi","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Mother sending son away"
"Museo","2018","Alonso Ruizpalacios","Mexico","✅ IN CANON","100, 158","YES","Berlin Silver Bear for Best Screenplay","led_by, about_community, breakthrough","Museum heist, 1985 Mexico City"
"On My Block","2018","","US","✅ IN CANON","","YES","","created_by, about_community, breakthrough, starring",""
"Rend Your Heart","2018","Jorge Furtado","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Political history, father-son"
"Roma","2018","Alfonso Cuarón","UK, US","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Maid life, 1970s Mexico City"
"Socrates","2018","Alexandre Moratto","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","15-year orphan, São Paulo coast"
"The Heiresses","2018","Marcelo Martinessi","Paraguay","⏳ PENDING","100, 158","NO","","led_by, created_by, about_community","Privileged women, quiet crisis"
"Vida","2018","","US","✅ IN CANON","","YES","","created_by, about_community, breakthrough, starring",""
"Bacurau","2019","Juliano Dornelles, Kleber Mendonça Filho","Brazil, France","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Village resistance, near-future"
"Invisible Life","2019","Karim Aïnouz","Brazil, Germany","✅ IN CANON","100, 158","YES","","led_by, about_community, breakthrough, starring","Sisters separated, 1950s Rio"
"The Edge of Democracy","2019","Petra Costa","Brazil","⏳ PENDING","100, 158","NO","","led_by, created_by, about_community, breakthrough","Documentary, Brazilian politics"
"The Infiltrators","2019","Alex Rivera, Cristina Ibarra","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"The Line","2019","Ricardo Laganaro","Brazil","⏳ PENDING (SHORT)","100, 158","NO","","led_by, about_community, breakthrough","Animated short, miniature dolls"
"Gentefied","2020","","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Hoy","2020","Ricardo Batz","El Salvador","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Drivers confront 12 years of civil war aftermath - needs individual director/writer heritage verification before any tag"
"Identifying Features","2020","Fernanda Valadez","Mexico, Spain","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Umbrella","2020","Helena Hilario, Mario Pece","Brazil","⏳ PENDING (SHORT)","100, 158","NO","","led_by, created_by, about_community","Animated short, yellow umbrella"
"Valentina","2020","Cássio Pereira dos Santos","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Trans girl, mother, new town"
"Valley of the Dead","2020","Javier Ruiz Caldera, Alberto de Toro","Spain","⏳ PENDING","","YES","","led_by","Quota-blocked: persisted, not yet classified"
"Acapulco","2021","","US","✅ IN CANON","","YES","","created_by, about_community, starring",""
"Encanto","2021","Byron Howard, Jared Bush","US","✅ IN CANON","","YES","","created_by, about_community, breakthrough, starring",""
"Fly So Far","2021","Celina Escher","El Salvador, Sweden","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Women imprisoned under total abortion ban; Escher is Swedish - needs individual director/writer heritage verification before any tag"
"In the Heights","2021","Jon M. Chu","US","✅ IN CANON","","YES","","created_by, about_community, starring",""
"Vivo","2021","Kirk DeMicco","US, Hong Kong","⏳ PENDING","","YES","","created_by, about_community","Quota-blocked: persisted, not yet classified"
"With Love","2021","","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Argentina 1985","2022","Santiago Mitre","Argentina, UK","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Cuerpos juzgados","2022","","El Salvador","⏳ PENDING","altermarianita + vramirez75 TMDB El Salvador lists","NO","","","No synopsis or director available - needs individual director/writer heritage verification before any tag"
"Lienzo en blanco","2022","Gabriela Cruz, Leslie Ortiz","El Salvador","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Art therapy for survivors of gendered violence - needs individual director/writer heritage verification before any tag"
"Lopez vs Lopez","2022","","US","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Sueños Ilegales","2022","Angel Camilo, Fernando Lemus","El Salvador, US","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Two brothers cross the border, paths diverge - needs individual director/writer heritage verification before any tag"
"What Lucia Saw","2022","Imanol Uribe","Spain, El Salvador","✅ IN CANON","","YES","","led_by, about_community, starring","Dir. Imanol Uribe, born in El Salvador (Basque parents) - qualifies under the Spain/Iberian heritage rule and literal Salvadoran birth. Juana Acosta (Colombian-Spanish) top-billed. Testimony of the Jesuit massacre."
"A Million Miles Away","2023","Alejandra Márquez Abella","US, Mexico","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Aristotle and Dante Discover the Secrets of the Universe","2023","Aitch Alberto","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Blue Beetle","2023","Ángel Manuel Soto","US","✅ IN CANON","","YES","","led_by, about_community, breakthrough, starring",""
"Borderlands","2023","","El Salvador, US","⏳ PENDING","altermarianita + vramirez75 TMDB El Salvador lists","NO","","","Dora Rodriguez fleeing 1980 civil war, Sonoran desert crossing; not found on TMDB, no director credited yet - needs individual director/writer heritage verification before any tag"
"Flamin' Hot","2023","Eva Longoria","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Radical","2023","Christopher Zalla","Mexico, US","✅ IN CANON","","YES","","about_community, breakthrough, starring",""
"The Day of the Dead Is Cancelled","2023","Javier Colinas","Mexico","✅ IN CANON","","YES","","led_by, about_community, starring",""
"The Eternal Memory","2023","Maite Alberdi","Chile, US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Apocalypse Z: The Beginning of the End","2024","Carles Torrens","Spain","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Fantasmas","2024","","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Griselda","2024","","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring, produced_by",""
"I'm Still Here","2024","Walter Salles","Brazil, France","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Problemista","2024","Julio Torres","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"The Long Game","2024","Julio Quintana","Colombia, US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"42nd Street","2025","José María Cabral","Dominican Republic","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"A Place of Absence","2025","Marialuisa Ernst","","✅ IN CANON","","YES","","led_by, created_by, about_community",""
"A Poet","2025","Simón Mesa Soto","Colombia, Germany, Sweden","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"ASCO: Without Permission","2025","Travis Gutiérrez Senger","US","✅ IN CANON","","YES","","led_by, about_community, breakthrough, starring, produced_by",""
"Cristela Alonzo: Upper Classy","2025","Page Hurwitz","US","⏳ PENDING","","YES","","about_community, starring","Quota-blocked: persisted, not yet classified"
"Las Tres Sisters","2025","Mar Novo","Mexico","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"The Blue Trail","2025","Gabriel Mascaro","Brazil, Mexico, Chile, Netherlands","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"The Confession","2025","","El Salvador","⏳ PENDING","altermarianita + vramirez75 TMDB El Salvador lists","NO","","","Organ trafficking priest thriller; not found on TMDB, no director credited yet - needs individual director/writer heritage verification before any tag"
"The Secret Agent","2025","Kleber Mendonça Filho","Brazil, France, Germany, Netherlands, Argentina","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Valentina","2025","Tatti Ribeiro","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring, produced_by",""
"Agent Zeta","2026","Dani de la Torre","Spain","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Ashes","2026","Diego Luna","Mexico, Spain","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Barreda","2026","Daniela Goggi","Argentina","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Barrio Triste","2026","STILLZ","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Blessed Heart","2026","Miguel Ángel Pérez","Mexico","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"COLADA","2026","Ángela García Peruyero","","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Fireflies at El Mozote","2026","Ernesto Melara","El Salvador","⏳ PENDING","altermarianita + vramirez75 TMDB El Salvador lists","NO","","","El Mozote massacre revenge story; surname suggests Salvadoran but not independently verified; unreleased as of this review - needs individual director/writer heritage verification before any tag"
"Mad Bills to Pay (or Destiny, dile que no soy malo)","2026","Joel Alfonso Vargas","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Marcello Hernández: American Boy","2026","Nicholaus Goossen","US","⏳ PENDING","","YES","","about_community, starring","Quota-blocked: persisted, not yet classified"
"No Translation Required","2026","Rafael Altamira","US, Mexico","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"TheyDream","2026","William D. Caballero","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Vengeance","2026","Rodrigo Valdes","US, Spain","✅ IN CANON","","YES","","led_by, about_community, breakthrough, starring",""
"Viento en Contra","2026","Douglas Martin","El Salvador","⏳ PENDING","altermarianita + vramirez75 TMDB El Salvador lists","NO","","","No synopsis or cast available yet; unreleased - needs individual director/writer heritage verification before any tag"
